speaker_id,utterance_count,valid_readable_wav_count,invalid_wav_count,zero_frame_count,duration_seconds,provenance_classes,exact_duplicate_file_count,candidate_source_group_count,positive_pair_support_status
92,87,87,0,0,261.0,train,0,87,at_least_two_nonzero_readable
93,413,413,0,0,1239.0,train,0,413,at_least_two_nonzero_readable
94,4,4,0,0,12.0,train,0,4,at_least_two_nonzero_readable
95,59,59,0,0,177.0,train,0,59,at_least_two_nonzero_readable
96,44,44,0,0,132.0,train,0,44,at_least_two_nonzero_readable
97,10,10,0,0,30.0,train,0,10,at_least_two_nonzero_readable
98,107,107,0,0,321.0,train,0,107,at_least_two_nonzero_readable
99,116,116,0,0,348.0,train,0,116,at_least_two_nonzero_readable
100,456,456,0,0,1368.0,train,0,456,at_least_two_nonzero_readable
101,319,319,0,0,957.0,train,0,319,at_least_two_nonzero_readable
102,345,345,0,0,1035.0,train,0,345,at_least_two_nonzero_readable
103,26,26,0,0,78.0,train,0,26,at_least_two_nonzero_readable
104,123,123,0,0,369.0,train,0,123,at_least_two_nonzero_readable
105,527,527,0,0,1581.0,train,0,527,at_least_two_nonzero_readable
106,380,380,0,0,1140.0,train,0,380,at_least_two_nonzero_readable
107,140,140,0,0,420.0,train,0,140,at_least_two_nonzero_readable
108,34,34,0,0,102.0,train,0,34,at_least_two_nonzero_readable
109,225,225,0,0,675.0,train,0,225,at_least_two_nonzero_readable
110,108,108,0,0,324.0,train,0,108,at_least_two_nonzero_readable
111,66,66,0,0,198.0,train,0,66,at_least_two_nonzero_readable
112,172,172,0,0,516.0,train,0,172,at_least_two_nonzero_readable
113,66,66,0,0,198.0,train,0,66,at_least_two_nonzero_readable
114,108,108,0,0,324.0,train,0,108,at_least_two_nonzero_readable
115,49,49,0,0,147.0,train,0,49,at_least_two_nonzero_readable
116,151,151,0,0,453.0,train,0,151,at_least_two_nonzero_readable
117,27,27,0,0,81.0,train,0,27,at_least_two_nonzero_readable
119,13,13,0,0,39.0,train,0,13,at_least_two_nonzero_readable
120,123,123,0,0,369.0,train,0,123,at_least_two_nonzero_readable
121,72,72,0,0,216.0,train,0,72,at_least_two_nonzero_readable
122,154,154,0,0,462.0,train,0,154,at_least_two_nonzero_readable
123,116,116,0,0,348.0,train,0,116,at_least_two_nonzero_readable
124,71,71,0,0,213.0,train,0,71,at_least_two_nonzero_readable
125,274,274,0,0,822.0,train,0,274,at_least_two_nonzero_readable
126,237,237,0,0,711.0,train,0,237,at_least_two_nonzero_readable
