candidate,batch,samples,unique_speakers,max_speaker_share,distinct_shards,duplicate_indexes
hybrid_w8,137,32,16,0.0625,8,0
hybrid_w8,138,32,16,0.0625,6,0
hybrid_w8,139,32,16,0.0625,7,0
hybrid_w8,140,32,16,0.0625,7,0
hybrid_w8,141,32,16,0.0625,7,0
hybrid_w8,142,32,16,0.0625,5,0
hybrid_w8,143,32,16,0.0625,6,0
hybrid_w8,144,32,16,0.0625,6,0
hybrid_w8,145,32,16,0.0625,5,0
hybrid_w8,146,32,16,0.0625,5,0
hybrid_w8,147,32,16,0.0625,7,0
hybrid_w8,148,32,16,0.0625,4,0
hybrid_w8,149,32,16,0.0625,7,0
hybrid_w8,150,32,16,0.0625,6,0
hybrid_w8,151,32,16,0.0625,8,0
hybrid_w8,152,32,16,0.0625,5,0
hybrid_w8,153,32,16,0.0625,7,0
hybrid_w8,154,32,16,0.0625,7,0
hybrid_w8,155,32,16,0.0625,6,0
hybrid_w8,156,32,16,0.0625,6,0
hybrid_w8,157,32,16,0.0625,4,0
hybrid_w8,158,32,16,0.0625,8,0
hybrid_w8,159,32,16,0.0625,7,0
hybrid_w8,160,32,16,0.0625,5,0
hybrid_w8,161,32,16,0.0625,6,0
hybrid_w8,162,32,16,0.0625,3,0
hybrid_w8,163,32,16,0.0625,6,0
hybrid_w8,164,32,16,0.0625,8,0
hybrid_w8,165,32,16,0.0625,4,0
hybrid_w8,166,32,16,0.0625,7,0
hybrid_w8,167,32,16,0.0625,7,0
hybrid_w8,168,32,16,0.0625,8,0
hybrid_w8,169,32,16,0.0625,7,0
hybrid_w8,170,32,16,0.0625,6,0
hybrid_w8,171,32,16,0.0625,7,0
hybrid_w8,172,32,16,0.0625,5,0
hybrid_w8,173,32,16,0.0625,5,0
hybrid_w8,174,32,16,0.0625,5,0
hybrid_w8,175,32,16,0.0625,5,0
hybrid_w8,176,32,16,0.0625,7,0
hybrid_w8,177,32,16,0.0625,6,0
hybrid_w8,178,32,16,0.0625,6,0
hybrid_w8,179,32,16,0.0625,5,0
hybrid_w8,180,32,16,0.0625,7,0
hybrid_w8,181,32,16,0.0625,7,0
hybrid_w8,182,32,16,0.0625,7,0
hybrid_w8,183,32,16,0.0625,6,0
hybrid_w8,184,32,16,0.0625,8,0
hybrid_w8,185,32,16,0.0625,6,0
hybrid_w8,186,32,16,0.0625,7,0
hybrid_w8,187,32,16,0.0625,7,0
